screen_id,group,module,route,title,presentation,params,result,required_states,primary_components,notes,requirement_ids,source,status,implementation_evidence,verification_evidence,target_phase
REC-013,其他交易,:feature:record,record/transfer/{transactionId?},内部转账,fullScreen,transactionId:StableId?,,editing | sameAccountError | fxRequired | saving,FromAccountField | ToAccountField | MoneyExpressionField | FxEvidenceSection | DateTimeZoneField | NoteField | AttachmentField | LedgerSaveFab,,REQ-014 | REQ-015 | REQ-017 | REQ-024 | REQ-027,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P14
REC-014,其他交易,:feature:record,record/credit-payment/{transactionId?},信用卡还款,fullScreen,transactionId:StableId?,,editing | overpaymentBlocked | unallocated | saving,PaymentAccountField | CreditAccountField | AmountField | PaymentAllocationSection | DateTimeZoneField | LedgerSaveFab,明确提示“软件记账不代表银行扣款成功”。,REQ-017 | REQ-024 | REQ-027 | REQ-038,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P19
REC-015,其他交易,:feature:record,record/refund/{transactionId?},退款,fullScreen,transactionId:StableId?,,linked | independent | partiallyRefunded | exceedsRemaining | saving,OriginalTransactionField | RefundAmountField | ReceivingAccountField | InheritedFields | RefundBudgetPolicy | RefundProjectPolicy | RefundGoalPolicy | AdvancedExcessOverride | LedgerSaveFab,,REQ-017 | REQ-024 | REQ-027 | REQ-034 | REQ-035,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P16
REC-016,其他交易,:feature:record,record/refund/original-picker,选择原交易,fullScreen,,TransactionId,content | empty | searching,SearchField | RefundableTransactionRow | FilterChips,,REQ-017 | REQ-024 | REQ-027 | REQ-034,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P16
REC-017,其他交易,:feature:record,record/loan-operation,贷款操作,fullScreen,,,content,LoanOperationTypeList,,REQ-017 | REQ-024 | REQ-027,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P21
REC-018,其他交易,:feature:record,record/loan-disbursement/{contractId?},贷款放款,fullScreen,contractId:StableId?,,editing | allocationError | saving,LoanContractField | ReceivingAccountField | TrancheAllocation | AmountField | DateTimeZoneField | LedgerSaveFab,,REQ-017 | REQ-024 | REQ-027,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P21
REC-019,其他交易,:feature:record,record/loan-payment/{contractId?},贷款还款,fullScreen,contractId:StableId?,,editing | principalExceeded | sumMismatch | saving,LoanContractField | PaymentAccountField | PaymentComponentsEditor | ScheduleItemPicker | AmountReconciliation | LedgerSaveFab,,REQ-017 | REQ-024 | REQ-027,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P21
REC-020,其他交易,:feature:record,record/balance-adjustment/{accountId?},余额调整,fullScreen,accountId:StableId?,,editing | saving,AccountField | DirectionSelector | AmountField | CheckpointLink | NoIncomeExpenseBanner | LedgerSaveFab,,REQ-017 | REQ-024 | REQ-027,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P14
REC-021,其他交易,:feature:record,record/fx-exchange,外币兑换,fullScreen,,,editing | sameCurrencyInfo | rateMismatch | saving,FromAccountField | ToAccountField | OutgoingAmountField | IncomingAmountField | EffectiveRateSummary | FxCostSection | LedgerSaveFab,,REQ-014 | REQ-015 | REQ-017 | REQ-024 | REQ-027,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P14
REC-022,其他交易,:feature:record,record/opening-balance/{accountId},期初余额,fullScreen,accountId:StableId,,editing | immutableCurrency | saving,OpeningDateField | AmountField | NoStatisticsBanner | LedgerSaveFab,,REQ-027,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P14
REC-023,批量录入,:feature:record,record/batch,批量录入,fullScreen,,,editing | validating | errors | readyToCommit | committing,BatchSummaryTable | BatchToolbar | BatchCommitBar,默认整批全有或全无；表格仅为摘要，复杂字段进入完整行编辑器。,REQ-060 | REQ-086,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P24
REC-024,批量录入,:feature:record,record/batch/row/{rowId},编辑第 {row} 行,fullScreen,rowId:StableId,BatchRowDraft,editing | validationError,TransactionEditorScaffold,,REQ-060,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P24
REC-025,批量录入,:feature:record,record/batch/validation,批量校验结果,fullScreen,,,errors | warnings | valid,ValidationSummary | ErrorRowList | JumpToRowAction,,REQ-060,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P24
REC-026,快捷模板,:feature:record,record/template-picker,选择快捷模板,fullScreen,,TemplateId,content | empty,SearchField | TemplateCard,,REQ-058,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P23
REC-027,分期录入,:feature:liabilities,record/installment-setup/{purchaseTransactionId?},信用卡分期,fullScreen,purchaseTransactionId:StableId?,,editing | preview | invalid | saving,CreditAccountField | PrincipalSummary | FeeModelSelector | TermCountField | RateFields | SchedulePreview | LedgerSaveFab,,REQ-040,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P20
JRN-001,流水,:feature:journal,journal,流水,topLevel,,,loading | content | empty | error | refreshing,JournalSearchAction | ActiveFilterRow | PagedTransactionList | DateStickyHeader | JournalTransactionRow,默认按发生时间倒序；全局流水不显示运行余额。,REQ-042 | REQ-062 | REQ-063 | REQ-064 | REQ-070 | REQ-084,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P15
JRN-002,流水,:feature:journal,journal/search,搜索流水,fullScreen,,,idle | typing | results | empty | error,SearchField | SearchScopeSummary | PagedTransactionList,,,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P15
JRN-003,流水,:feature:journal,journal/filter/{presetId?},筛选,fullScreen,presetId:StableId?,FilterSpec,editing | invalid | applying,FilterDimensionSections | MultiSelectPicker | DateRangeField | AmountRangeField | LocationRadiusField | StickyApplyBar,,REQ-065,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P15
JRN-004,流水,:feature:journal,journal/saved-filters,已保存筛选,fullScreen,,FilterPresetId?,content | empty,SavedFilterRow | SetDefaultAction | ReorderAction,,REQ-065,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P15
JRN-005,流水,:feature:journal,journal/selection,批量选择,mode,,,someSelected | allMatchingSelected | queryChanged,SelectionTopBar | PagedTransactionList | SelectionBottomBar,支持“全选当前筛选结果”，不得将全部记录载入内存。,REQ-061,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P15/P24
JRN-006,流水,:feature:journal,journal/bulk-edit,批量编辑,fullScreen,,,editing | validating | committing | failed | succeeded,BulkEditableFieldList | ChangeSummary | AtomicCommitBar,禁止批量修改金额、方向、退款关系和互请份额。,REQ-061,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P15/P24
JRN-007,交易详情,:feature:journal,journal/transaction/{transactionId},交易详情,fullScreen,transactionId:StableId,,loading | active | trashed | dependencyWarning | notFound,TransactionHero | TransactionStatusChips | UserInputSection | AccountImpactSection | BudgetSemanticsSection | FxSection | RelationshipSections | LocationSection | AttachmentSection | SourceSection | HistoryPreview | TransactionActions,,REQ-006 | REQ-007 | REQ-014 | REQ-030 | REQ-035 | REQ-066 | REQ-088,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P15
JRN-008,交易详情,:feature:journal,journal/transaction/{transactionId}/history,修改历史,fullScreen,transactionId:StableId,,content | singleRevision,RevisionTimeline | RevisionActionBadge | FieldChangeSummary,,REQ-031 | REQ-066,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P15
JRN-009,交易详情,:feature:journal,journal/transaction/{transactionId}/compare/{leftRevisionId}/{rightRevisionId},版本对比,fullScreen,transactionId:StableId | leftRevisionId:StableId | rightRevisionId:StableId,,content | loading,RevisionCompareTable | RestoreRevisionAction,,REQ-031 | REQ-066,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P15
JRN-010,交易详情,:feature:journal,journal/transaction/{transactionId}/dependencies,影响范围,fullScreen,transactionId:StableId,DependencyStrategy,content | noDependencies | blocked,DependencyTree | StrategyOptionCards | ImpactSummary,,,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P15
JRN-011,回收站,:feature:journal,journal/trash,回收站,fullScreen,,,content | empty | selection,TrashRetentionBanner | PagedTrashList | RestoreAction | PurgeAction,,REQ-032,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P15
JRN-012,回收站,:feature:journal,journal/purge/{transactionId},永久删除,dialog,transactionId:StableId,,eligible | notEligible | verifying | purging,HighRiskConfirmation | DependencySummary,只有已完全冲销且依赖处理完成的交易才可清除。,REQ-032,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P15/P31
ACC-001,账户,:feature:accounts,accounts,账户,topLevel,,,content | noAccounts | valuationStale | error,NetFinancialAssetSummary | AmountVisibilityAction | AccountSection | AccountSummaryCard | AddAccountAction,指标名称固定为“核心净金融资产”和“调整后净金融头寸”。,REQ-008 | REQ-009 | REQ-070,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P12
ACC-002,账户,:feature:accounts,accounts/type-picker,选择账户类型,fullScreen,,AccountType,content,AccountTypeCard,,REQ-009,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P12
ACC-003,账户,:feature:accounts,accounts/editor/{accountId?},账户设置,fullScreen,accountId:StableId?,,create | edit | currencyLocked | validationError | saving,AccountBasicFields | CurrencyField | DisplayStyleFields | TypeSpecificFields | StickySaveBar,,REQ-009 | REQ-013,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P12
ACC-004,账户,:feature:accounts,accounts/editor/{accountId}/opening-balance,期初余额,fullScreen,accountId:StableId,,editing | saving,OpeningBalanceForm | NoStatisticsBanner,,REQ-009,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P12
ACC-005,账户详情,:feature:accounts,accounts/{accountId},账户详情,fullScreen,accountId:StableId,,active | archived | emptyTransactions | valuationUnavailable,AccountBalanceHero | AvailableBalanceRow | ValuationInfo | BalanceTrendChart | AccountActionRow | CardsSection | GoalsSection | RecentTransactions,,REQ-009 | REQ-051,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P12
ACC-006,账户详情,:feature:accounts,accounts/{accountId}/transactions,账户流水,fullScreen,accountId:StableId,,content | empty | error,AccountFilterRow | PagedAccountTransactionList | RunningBalanceColumn,,REQ-064,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P12
ACC-007,账户详情,:feature:accounts,accounts/{accountId}/checkpoint,余额检查点,fullScreen,accountId:StableId,,editing | match | difference | saving,CheckpointDateField | ObservedBalanceField | CalculatedBalanceCard | DifferenceCard | ResolutionActions,,REQ-033,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P12
ACC-008,账户详情,:feature:accounts,accounts/{accountId}/checkpoint/{checkpointId}/resolve,处理余额差异,fullScreen,accountId:StableId | checkpointId:StableId,,content,DifferenceExplanation | FindMissingRecordsAction | CreateAdjustmentAction,,REQ-033,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P12
ACC-009,实体卡,:feature:accounts,accounts/{accountId}/cards,实体卡,fullScreen,accountId:StableId,,content | empty,CardList | AddCardAction | ArchivedSection,,REQ-012,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P12
ACC-010,实体卡,:feature:accounts,cards/editor/{cardId?},实体卡设置,fullScreen,cardId:StableId?,,create | edit | validationError | saving,CardBasicFields | AccountCompatibilityInfo | VaultSetupEntry | StickySaveBar,,REQ-012,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P12
ACC-011,实体卡,:feature:accounts,cards/{cardId},实体卡详情,fullScreen,cardId:StableId,,active | archived | replacement,CardIdentitySummary | LinkedAccountRow | VaultEntry | CardHistory | ArchiveReplaceActions,,REQ-012,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P12
ACC-012,账户,:feature:accounts,accounts/{accountId}/archive-delete,归档或删除账户,dialog,accountId:StableId,,unusedDeletable | usedArchiveOnly | lastAccountWarning,UsageSummary | ArchiveDeleteOptions | LastAccountWarning,,REQ-010 | REQ-011,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P12
BUD-001,预算,:feature:planning,budget/{yearMonth?},预算,topLevel,yearMonth:YYYYMM?,,configured | notConfigured | recalculating | historical | future,MonthPager | BudgetHero | DailyAvailableCard | BudgetCompositionRows | CategoryBudgetList | BudgetActions,,REQ-007 | REQ-048 | REQ-049 | REQ-050 | REQ-070,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P17
BUD-002,预算,:feature:planning,budget/{yearMonth}/edit,编辑月度预算,fullScreen,yearMonth:YYYYMM,,editing | constraintError | saving | historyRecalculationWarning,TotalBudgetField | HierarchicalBudgetEditor | ConstraintMeters | StickySaveBar,,REQ-048 | REQ-049,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P17
BUD-003,预算,:feature:planning,budget/{yearMonth}/category/{categoryId},分类预算,fullScreen,yearMonth:YYYYMM | categoryId:StableId,,editing | constraintError,CategoryBudgetField | ChildAllocationList | ParentLimitSummary,,REQ-048 | REQ-049,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P17
BUD-004,预算,:feature:planning,budget/{yearMonth}/adjustments,预算调整,fullScreen,yearMonth:YYYYMM,,content | empty,AdjustmentTypeCards | AdjustmentHistory,,REQ-049,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P17
BUD-005,预算,:feature:planning,budget/{yearMonth}/adjustment/{type},新建预算调整,fullScreen,yearMonth:YYYYMM | type:CLEAR_ROLLOVER|ADD|SUBTRACT|TRANSFER,,editing | invalid | saving,NoAccountImpactBanner | AdjustmentForm | StickySaveBar,,REQ-049,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P17
BUD-006,预算,:feature:planning,budget/{yearMonth}/history,预算版本历史,fullScreen,yearMonth:YYYYMM,,content | singleRevision,BudgetRevisionTimeline | CompareAction,,REQ-049,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P17
BUD-007,预算模板,:feature:planning,budget/templates,预算模板,fullScreen,,,content | empty,BudgetTemplateList | AddTemplateAction,,REQ-049,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P17
BUD-008,预算模板,:feature:planning,budget/templates/editor/{templateId?},预算模板设置,fullScreen,templateId:StableId?,,create | edit | constraintError,TemplateNameField | TotalBudgetField | HierarchicalBudgetEditor | StickySaveBar,,REQ-049,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P17
PRJ-001,项目,:feature:planning,projects,项目,fullScreen,,,content | empty | archivedOnly,ProjectList | ProjectStatusTabs | AddProjectAction,,REQ-046,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P18
PRJ-002,项目,:feature:planning,projects/editor/{projectId?},项目设置,fullScreen,projectId:StableId?,,create | edit | validationError,ProjectFields | BudgetField | MonthlyBudgetToggle | GoalSelector | StickySaveBar,,REQ-046 | REQ-047,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P18
PRJ-003,项目,:feature:planning,projects/{projectId},项目详情,fullScreen,projectId:StableId,,active | archived | overBudget | noTransactions,ProjectHero | ProjectProgress | ProjectTabRow | RecentProjectTransactions | SettlementActivities,,REQ-046,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P18
PRJ-004,项目,:feature:planning,projects/{projectId}/transactions,项目交易,fullScreen,projectId:StableId,,content | empty,PagedTransactionList | ProjectFilterRow,,REQ-046,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P18
PRJ-005,项目,:feature:planning,projects/{projectId}/cashflow,项目现金流,fullScreen,projectId:StableId,,content | empty,CashFlowChart | CashFlowTable,,REQ-046,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P18
PRJ-006,项目,:feature:planning,projects/{projectId}/status,项目状态,dialog,projectId:StableId,,active | archived,ArchiveReopenOptions,,REQ-046,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P18
GOL-001,目标资金,:feature:planning,goals,目标资金,fullScreen,,,content | empty | underfunded,GoalsByAccount | GoalSummaryCard | AddGoalAction,,REQ-051,android_ledger_screen_contract_v1.yaml#screens,NOT_STARTED,,,P18
