requirement_id,source_section,summary,screens_flows,core_components,acceptance_criteria,status,implementation_evidence,verification_evidence,primary_acceptance_phase,follow_up_review_phases,notes
REQ-013,需求/多币种,账户币种固定，首笔 Posting 后不可修改,ACC-003,CurrencyField,已使用账户币种字段只读并解释原因。,IN_PROGRESS,P05 typed account currency contract P07 physical equality and P12 Posting-derived adapter/UI lock,P05-E001; P05-E002; P05-E003; P07-E001; P07-E002; P07-E003; P12-E002; P12-E003; P12-E004,P12,P34 | P36,P12 real opening balance proves the first financial Posting locks currency; later FX/final acceptance remains.
REQ-014,需求/多币种,保存原币、账户币、本位币和汇率证据,REC-003;REC-013;REC-021;JRN-007,FxEvidenceSection;AmountStack,详情清楚区分原始金额、入账金额、本位币估值和报价时间。,IN_PROGRESS,P03 exact FX foundation P05 typed evidence P06 frozen original/account/base planning P07 normalized immutable persistence and P14 dual-account transfer/exchange evidence UI plus SQLCipher round trip,P03-E003; P03-E006; P05-E001; P05-E002; P05-E003; P06-E001; P06-E002; P06-E003; P07-E001; P07-E003; P14-E002; P14-E004; P14-E005,P14,P34 | P36,P14 verifies specialized entry and immutable storage; JRN-007 detail-wide presentation remains P15/P34.
REQ-015,需求/多币种,离线缓存汇率；无缓存时手动输入,REC-003;REC-013;REC-021,FxStatusBanner;ManualRateField,离线状态显示报价时间；无汇率时阻止保存并提供手动路径。,IN_PROGRESS,P03 typed CACHE/MANUAL evidence and P14 privacy-limited online adapter encrypted current cache visible quote time stale banner and positive manual fallback,P03-E003; P05-E001; P05-E002; P05-E003; P14-E002; P14-E003; P14-E004; P14-E005,P14,P34 | P36,P14 verifies transfer/exchange offline/manual behavior; final ordinary/import/global acceptance remains P34/P36.
REQ-016,需求/交易系统,顶部固定支出、收入、其他交易 Tab,REC-001,RecordTopTabs,三个 Tab 固定在内容顶部，冷启动落在支出。,VERIFIED,P04 governed tab plus P13 fixed three-tab category-first root and EXPENSE default,P04-E003; P04-E004; P13-E004,P13,P34 | P36,P13 verifies the complete REC-001 behavior.
REQ-017,需求/交易系统,其他交易包含转账、信用还款、退款、贷款、余额调整、外币兑换,REC-012..021,OtherTransactionGrid,六个入口全部存在；互请管理不在该网格中。,IN_PROGRESS,P13 REC-012 exposes exactly six governed entries and excludes settlement management; P14 makes transfer adjustment and FX destinations functional; P16 makes linked and independent refund destinations functional,P13-E004; P14-E001; P14-E004; P14-E005; P16-E003; P16-E004,P14,P34 | P36,Credit payment and loan destinations remain P19/P21.
REQ-018,需求/分类,收入和支出是两棵独立树，无默认分类,REC-001;CAT-001,CategoryGrid;EmptyState,新账本显示空分类状态；收入/支出切换不混用数据。,VERIFIED,P04 governed grid P12 independent persisted direction trees and P13 direction-scoped recording grids/empty state,P04-E003; P12-E002; P12-E003; P12-E004; P13-E004,P12,P34 | P36,Management and record-grid acceptance pass.
REQ-019,需求/分类,最多两级，一级有子项仍可直接记账,REC-001;REC-004;CAT-001,CategoryGroupSection;CategoryTile,一级和二级均可点击选择；层级视觉清晰。,VERIFIED,P04 grouped tile P12 depth/parent invariants and P13 direct parent/child recording selection,P04-E003; P12-E002; P12-E003; P12-E004; P13-E002; P13-E004,P12,P34 | P36,Two-level management and recording selection pass.
REQ-020,需求/分类,分类重新选择复用完整网格，不用下拉,REC-004,CategoryGrid,交易编辑器点击分类进入同一 CategoryGrid destination。,VERIFIED,P04 single governed CategoryGrid P12 appearance and P13 REC-004 full-grid route/search/result wiring,P04-E003; P04-E004; P12-E004; P13-E004,P13,P34 | P36,No dropdown category path exists.
REQ-021,需求/分类,分类支持颜色、图标、排序、搜索与对比度检测,CAT-001..003;CAT-002,CategoryColorPicker;ContrastPreview,低对比色产生警告并给出可访问前景色。,VERIFIED,P04 palette/icon contrast governance P12 persisted search/order/editor and P13 accessible category consumption,P04-E001; P04-E002; P04-E005; P12-E003; P12-E004; P13-E004,P12,P34 | P36,Management and recording consumption pass.
REQ-022,需求/分类,删除分类支持重分配、归档、墓碑删除,CAT-004,CategoryDeleteFlow,三种策略均展示影响笔数；墓碑历史以灰色删除线显示。,VERIFIED,P04 deleted rendering P12 audited archive/tombstone/atomic reassignment and P13 current category snapshot consumption,P04-E003; P12-E003; P12-E004; P12-E008; P13-E003,P12,P34 | P36,All three strategies and immutable recording integration pass.
REQ-023,需求/普通交易,普通交易字段完整且顺序固定,REC-003,TransactionEditorScaffold,字段顺序严格为分类、金额、账户卡、商户、时间、项目、互请、位置、备注、附件。,VERIFIED,P04 governed fields plus P13 exact ordered single-page editor and advanced snapshot section,P04-E003; P13-E004; P13-E005,P13,P34 | P36,Exact ordered field audit passes.
REQ-024,需求/金额输入,系统键盘；支持有限算术表达式和操作符工具栏,REC-003;REC-013..021,MoneyExpressionField;OperatorToolbar,全半角规范化；错误定位；无应用内数字键盘。,VERIFIED,P03 bounded expression engine P04 system keyboard/operator toolbar P13 ordinary binding P14 specialized exact-minor reuse and P16 refund amount binding,P03-E004; P03-E006; P04-E003; P13-E002; P13-E004; P14-E002; P14-E005; P16-E002; P16-E004,P13,P34 | P36,No application numeric keypad or unsupported expression path exists.
REQ-025,需求/金额输入,最终金额大于零并按币种最小单位舍入,REC-003,MoneyExpressionField,零/负数不可保存；显示舍入后结果和原始算式。,VERIFIED,P03 exact positive rounded minor units P06 planner enforcement and P13 visible expression/result validation,P03-E003; P03-E004; P06-E001; P06-E002; P13-E002; P13-E003; P13-E004,P03,P34 | P36,REC-003 and authoritative write path pass without floating point.
REQ-026,需求/录入交互,互请默认折叠，开启后展开,REC-003;REC-011,SettlementSection,未开启时不占用大块空间；开启后字段完整。,VERIFIED,P04 governed FormSection plus P13 collapsed default activity allocation totals and currency mismatch handling,P04-E003; P13-E002; P13-E004,P13,P34 | P36,P22 owns activity management but ordinary-entry interaction passes.
REQ-027,需求/录入交互,保存 FAB 固定右下，不随页面滚动,REC-003;REC-013..022,LedgerSaveFab,滚动、键盘显示、大字体下仍可触达且不遮住最后字段。,VERIFIED,P04 closed Save FAB P13 root fixed-action integration P14 specialized reuse and P16 refund fixed-action integration under 200-percent font,P04-E003; P13-E004; P13-E005; P14-E005; P14-E006; P16-E004; P16-E005,P13,P34 | P36,Ordinary specialized and refund editors retain the root fixed action while form content scrolls independently.
REQ-028,需求/录入交互,保存后返回当前分类网格,REC-003 -> REC-001,NavigationResult,保存成功回到原支出/收入 Tab 并保持滚动位置。,VERIFIED,P13 typed origin return policy preserves category tab/scroll while edit candidate and batch return to their source,P13-E002; P13-E004,P13,P34 | P36,All five entry origins have automated return-policy evidence.
REQ-029,需求/交易限制,不支持拆分分类或多账户共同支付,REC-003;IMP-003,SingleCategorySelector;SinglePayerAccount,UI 不出现拆分入口；导入映射遇到拆分数据提示需拆成多笔。,VERIFIED,P05/P06 single classification/payer types P13/P14 closed recording payloads and P28 import boundary rejects multiple categories or payers with an explicit expand-to-separate-transactions error,P05-E001; P06-E002; P13-E002; P13-E004; P14-E001; P14-E002; P28-E001; P28-E002,P06,P34 | P36,All recording and import paths preserve the no-split product boundary.
REQ-030,需求/交易时间,保存发生时间、时区、本地日期和账单归属,REC-003;CRD-006;JRN-007,DateTimeZoneField;StatementAssignment,跨时区交易详情可查看原时区；信用账单时区单独说明。,IN_PROGRESS,P03/P06 temporal planning plus P13 governed date-time picker preserving zone/local date in the immutable revision,P03-E005; P06-E002; P13-E002; P13-E003; P13-E004,P13,P34 | P36,Ordinary time/zone passes; credit statement and journal presentation remain later.
REQ-031,需求/版本历史,任何编辑产生完整历史，旧版恢复产生新修订,JRN-008;JRN-009,RevisionTimeline;RestoreRevisionAction,恢复操作提示“将创建新版本”，历史版本数量增加而非覆盖。,VERIFIED,P05 revision model P06 reverse-old append-new lifecycle P07 append-only schema P08 atomic normalized mapper P15 complete timeline/RESTORE and P16 immutable refund allocation reversal/history,P05-E001; P05-E002; P05-E003; P06-E001; P06-E002; P06-E003; P07-E001; P07-E002; P07-E003; P08-E001; P08-E003; P15-E004; P15-E005; P16-E002; P16-E003,P15,P34 | P36,P16 extends the verified append-only history path to refund revisions and allocation facts without overwriting prior evidence.
REQ-032,需求/回收站,保留期可配，支持恢复和受控永久清除,JRN-011;JRN-012;SETG-008,TrashRetentionBanner;HighRiskConfirmation,永久删除前重新校验资格；依赖未处理时不可执行。,IN_PROGRESS,P05 typed purge policy P07 guarded schema P15 trash/restore eligibility and P16 atomic refund dependency reversal or independentization,P05-E001; P05-E002; P05-E003; P07-E001; P07-E002; P07-E003; P15-E004; P15-E005; P16-E002; P16-E003,P31,P34 | P36,P16 prevents unresolved original/refund dependency deletion; P31 retains maintenance-only physical purge and tombstones.
REQ-033,需求/余额检查点,检查点不影响余额，可查漏或生成调整,ACC-007;ACC-008,DifferenceCard;ResolutionActions,创建检查点后余额不变；调整是显式独立操作。,VERIFIED,P05 typed foundation P06 explicit adjustment rule P08 atomic persistence P12 neutral checkpoint and P14 immutable checkpoint-linked adjustment flow,P05-E001; P05-E002; P05-E003; P06-E001; P06-E002; P06-E003; P08-E001; P08-E003; P12-E002; P12-E003; P12-E004; P14-E004; P14-E005,P12,P34 | P36,Checkpoint Fact remains immutable; adjustment_revision_detail is the authoritative link and only the separate adjustment changes balance.
REQ-034,需求/退款,全额/部分/跨月/其他账户/独立退款,REC-015;REC-016,RefundEditor,原交易和独立两种模式；显示已退、可退、剩余。,VERIFIED,P05 typed foundation plus P16 full partial repeated cross-month other-account independent excess refund facts projections dependency policies and complete REC UI,P05-E001; P05-E002; P05-E003; P16-E001; P16-E002; P16-E003; P16-E004; P16-E005; P16-E006,P16,P34 | P36,P16 device/property/UI evidence covers the complete requirement; installment-specific allocation remains its separate P19 requirement.
REQ-035,需求/退款,跨月退款分别处理权责、现金流和预算恢复,REC-015;JRN-007,RefundBudgetPolicy;AccrualCashflowSummary,三个时间/月份维度分别可见，不用一个日期替代。,VERIFIED,P05 typed foundation plus P16 independently frozen cash date accrual date and original/refund/no-restore budget month in facts queries detail and UI,P05-E001; P05-E002; P05-E003; P16-E002; P16-E003; P16-E004; P16-E005,P16,P34 | P36,P16 SQLCipher evidence proves September cash July accrual and July budget restoration remain separate through rebuild.
REQ-036,需求/信用卡,完整账单、额度、欠款、官方与预计信息；无最低还款额,CRD-001..005,CreditDebtHero;EstimatedOfficialComparison,页面无最低还款字段；官方与预计差异不自动调账。,VERIFIED,P19 typed profile/calendar/limit/statement revisions plus estimated/official/sealed/status projections difference-only display and complete CRD-001—005 UI,P19-E001; P19-E002; P19-E003; P19-E004; P19-E005; P19-E006,P19,P34 | P36,P19 verifies the complete credit-account and statement requirement; official differences append no balance adjustment and no minimum-payment model or field exists.
REQ-037,需求/信用卡,允许前后期调整、封存后编辑警告,CRD-004;CRD-006;REC-003,ImpactWarning;SealedBadge,封存账单内交易编辑前显示影响说明并继续保留历史。,VERIFIED,P19 automatic/manual previous-current-next assignment stored in transaction revisions with sealed-statement impact warning and append-only history,P19-E001; P19-E002; P19-E003; P19-E004; P19-E006,P19,P34 | P36,P19 verifies assignment persistence and UI warning; editing never mutates an old transaction or statement revision.
REQ-038,需求/信用卡,提前还款分配，禁止主动超额还款,REC-014;CRD-007,PaymentAllocationEditor,超额时阻止保存；支持未分配提前还款。,VERIFIED,P19 coordinator-owned repayment and earliest/specified/unallocated allocation facts enforce actual-debt active-overpayment rejection while explaining passive positive balances,P19-E001; P19-E002; P19-E003; P19-E004; P19-E006,P19,P34 | P36,P19 verifies balanced liability repayment with no income/expense and deterministic rebuildable allocation.
REQ-039,需求/自动还款,正式生成/候选两模式，不声称现实扣款成功,CRD-008;AUT-008,RealityPaymentDisclaimer;CandidateBadge,所有自动生成文案明确为“记账记录”。,VERIFIED,P19 eligibility/idempotency and P23 occurrence trigger adapter with formal/candidate modes fact-free fallback and explicit bookkeeping-only reality disclaimer,P19-E001; P19-E002; P19-E003; P19-E004; P19-E006; P23-E001; P23-E003; P23-E004,P19,P34 | P36,P23 closes the occurrence-engine trigger without asserting external payment; final cross-feature wording replay remains P34/P36.
REQ-040,需求/分期,购买即确认全部消费/负债，未来计划单独展示,REC-027;INS-003..004,InstallmentProgressHero;ScheduleTable,分期页区分已出账和未出账承诺负债。,VERIFIED,P05 typed foundation plus P20 exact versioned schedules all fee models posted liability versus unposted commitment explicit settlement/refund application and complete REC-027/INS UI,P05-E001; P05-E002; P05-E003; P20-E001; P20-E002; P20-E003; P20-E004; P20-E005; P20-E006,P20,P34 | P36,P20 proves the original purchase remains whole while future schedule items never become duplicate consumption; full scale/release acceptance remains P34/P36.
REQ-041,需求/贷款,多还款方式、利率阶段、组合贷款、提前还款模拟,LOA-002..011,LoanWizard;RatePeriodTimeline;SimulationComparison,组合贷款可添加多个 tranche；模拟不影响真实账本，应用需二次确认。,VERIFIED,P21 typed combination contracts and tranche ledgers; versioned terms/rates/schedules; all repayment methods; atomic actual disbursement/payment; pure and confirmed prepayment simulation; complete LOA UI,P21-E001; P21-E002; P21-E003; P21-E004; P21-E005; P21-E006,P21,P34 | P36,P23 retains only due-occurrence integration; wider backup/performance acceptance remains with its owning stages.
REQ-042,需求/贷款,未来计划只进预测，不进当前流水余额,LOA-008;ANA-014;JRN-001,PlannedActualToggle;ForecastDisclosure,计划行有“计划”标识且不出现在流水。,VERIFIED,P21 latest-schedule future-only versioned projection; planned versus actual accessible table; no planned transaction Journal Posting effect or balance mutation,P21-E001; P21-E002; P21-E003; P21-E004; P21-E006,P21,P34 | P36,P26 owns the wider analytics forecast screen; P21 verifies the authoritative loan current-versus-forecast boundary.
REQ-043,需求/互请,只支持净额结算，任意参与人和多种分配方式,SET-001..008;REC-011,ParticipantShareTable;SplitModeTabs,平均、金额、百分比、权重、排除、税费及舍入均可编辑。,VERIFIED,P22 checked allocation policy; unique-self activity/participant aggregate; immutable expense/payment facts; deterministic position/suggestion rebuild; complete REC/SET UI,P22-E001; P22-E002; P22-E003; P22-E004; P22-E005,P22,P34 | P36,P22 verifies arbitrary participants and all closed allocation/charge/rounding paths with coordinator-owned immutable persistence and all 27 required states.
REQ-044,需求/互请,外部参与人之间付款不改变本地账户,SET-006,NoLocalImpactBanner,self 不参与时账户字段隐藏并明确“不影响本地账户”。,VERIFIED,P22 external-to-external pure subledger record; self-conditional account field and no-local-impact disclosure,P22-E002; P22-E003; P22-E004,P22,P34 | P36,API 36 SQLCipher evidence proves external-only payments append no Journal Posting account balance or current transaction.
REQ-045,需求/互请,已结算后原交易修改触发补充结算,SET-004;SET-008,AdditionalSettlementBadge,历史结算不被修改，页面显示重新计算后的差额。,VERIFIED,P22 immutable settlement payment history; append-only source edit; recomputed theoretical position and additional-settlement marker/suggestions,P22-E002; P22-E003; P22-E004,P22,P34 | P36,Post-settlement edit retains the exact payment digest and marks only the residual position for supplemental settlement.
REQ-046,需求/项目,项目预算、报表、交易、现金流、互请和目标关联,PRJ-001..006,ProjectHero;ProjectTabs,项目详情具备概览、交易、现金流、互请信息。,VERIFIED,P18 typed project current/audit mutations frozen ProjectEffects keyset transactions cashflow settlement status and all PRJ UI,P18-E001; P18-E002; P18-E003; P18-E004; P18-E005; P18-E006,P18,P34 | P36,P18 verifies project budgeting and reports; cross-feature final analytics and release review remain.
REQ-047,需求/项目,一个项目最多一个目标，一个目标可多个项目,PRJ-002;GOL-003,GoalSelector;BoundProjects,项目编辑器单选目标；目标详情可列多个项目。,VERIFIED,P18 single nullable project goal relation typed selector and reverse bound-project query,P18-E001; P18-E003; P18-E004,P18,P34 | P36,P18 verifies one-project-to-zero-or-one-goal and one-goal-to-many-projects.
REQ-048,需求/预算,自然月、总/一级/二级预算、层级约束,BUD-001..003,HierarchicalBudgetEditor;ConstraintMeters,一级合计和二级合计超限时立即显示差额并阻止保存。,VERIFIED,P17 typed natural-month revisions checked hierarchy policy synchronous SQLCipher projection and live difference meters,P17-E001; P17-E002; P17-E003; P17-E004,P17,P34 | P36,P17 owns and verifies this requirement; later phases perform only cross-feature/final regression.
REQ-049,需求/预算,正负结转、调整、历史重算、模板和未来月份,BUD-001..008,BudgetCompositionRows;RecalculationBanner,基础预算、结转和调整分栏显示；历史修改提示后续月份重算。,VERIFIED,P17 uncapped non-expiring signed rollover chain immutable adjustments versioned templates future months history and recalculation UI,P17-E001; P17-E002; P17-E003; P17-E004; P17-E005,P17,P34 | P36,P17 owns and verifies this requirement; later phases perform only cross-feature/final regression.
REQ-050,需求/预算,每日可用金额扣除尚未发生周期固定支出,BUD-001,DailyAvailableCard,卡片显示公式展开和周期预留金额。,VERIFIED,P17 exact integer daily-available policy and versioned future recurrence reservation query with formula operands in BUD-001,P17-E001; P17-E002; P17-E003; P17-E004,P17,P34 | P36,P17 owns and verifies this requirement; recurrence authoring remains P23 without weakening the P17 calculation contract.
REQ-051,需求/目标,目标是账户内预留，不改变实际余额,GOL-001..004;ACC-005,AccountAvailabilitySummary,同时显示实际余额、目标预留和可用余额。,VERIFIED,P05 typed foundation plus P18 coordinator-owned GoalMovement GoalEffect rebuild and actual-reserved-available UI,P05-E001; P05-E002; P05-E003; P18-E001; P18-E002; P18-E003; P18-E004,P18,P34 | P36,P18 verifies complete account-bound goal reservation behavior; widgets and final review remain later.
REQ-052,需求/目标,余额不足不阻止交易，允许可用余额为负并警告,REC-003;GOL-003,UnderfundedWarning,只警告不禁用保存。,VERIFIED,P13 non-blocking transaction surface plus P18 checked negative availability projection and warning with enabled Save,P13-E004; P18-E002; P18-E003; P18-E004,P18,P34 | P36,P18 verifies negative availability is warned without automatic reduction or transaction/save blocking.
REQ-053,需求/商户,商户搜索、合并、别名、地点与本地位置推荐,REC-007;MER-001..003,MerchantSuggestionRow,推荐需标注“根据本地历史”，不得自动填写。,IN_PROGRESS,P05 typed foundation P10 location/map and P12 alias search merge linked places and local history query data,P05-E001; P05-E002; P05-E003; P10-E002; P10-E004; P12-E003; P12-E004,P12,P34 | P36,P12 management is implemented without online geocoding; REC-007 opt-in suggestion presentation and final acceptance remain later.
REQ-054,需求/位置,前台尝试定位，保存最多等待3秒，失败不阻止,REC-003;REC-009;SYS-001,LocationField,保存过程中最多等待3秒，超时自动继续且不后台补写。,VERIFIED,P10 foreground client/session plus P13 save integration and atomic optional location side effect,P10-E002; P10-E004; P10-E005; P10-E006; P13-E003; P13-E004,P10,P34 | P36,Failure continues without location and never supplements later.
REQ-055,需求/位置,不申请后台定位，不在线地点搜索/反向解析,SYS-001;REC-009,PermissionRationale,权限说明仅为“使用应用时”；地图无在线搜索框。,VERIFIED,P05 typed location contract plus P10 foreground-only manifest permission REC-009 and SYS-001 states and SDK/static boundary,P05-E001; P05-E002; P05-E003; P10-E001; P10-E004; P10-E005; P10-E006,P10,P34 | P36,No background permission Worker online place search or reverse-geocoding dependency exists; static and device manifest checks fail closed.
REQ-056,需求/地图,聚类、热力图、金额/笔数、商户/地点汇总和完整筛选,ANA-011;ANA-012,MapModeSelector;MapClusterLayer;MapHeatLayer,缩放后从聚类平滑切到单点；地图有 attribution。,VERIFIED,P10 MapLibre foundation plus P27 four typed modes amount/count merchant/place aggregation full bound filters RTree viewport query sequential-teal cluster/heat/single overlays attribution accessible fallback and opaque detail drilldown,P10-E002; P10-E004; P27-E001; P27-E002; P27-E003; P27-E004; P27-E005,P27,P34 | P36,P27 owns and verifies the complete consumption-map flow; final cross-feature review remains P34/P36.
REQ-057,需求/附件,任意格式数量、私有复制、重命名、预览/外开、去重,REC-010;ATT-001..003,AttachmentList;SecureImagePreview,外部打开前确认；UI 不显示物理存储名；大文件可取消。,VERIFIED,P05 typed attachment port plus P10 streaming encrypted object store hash-size dedup Coil thumbnails one-time pipe Provider rename and ATT/REC state UI,P05-E001; P05-E002; P05-E003; P10-E001; P10-E002; P10-E003; P10-E005; P10-E006,P10,P34 | P36,Large imports are cancellable and failure-safe; physical names paths hashes and plaintext remain private and external opening requires an explicit consumed confirmation.
REQ-058,需求/快捷模板,模板进入完整表单，不直接保存,AUT-002..003;REC-026;REC-003,TemplateCard,点击模板后进入 REC-003，用户仍可修改全部字段。,VERIFIED,P23 immutable blueprint authoring plus searchable REC-026 in frozen record module opening the complete P13 form without direct save or runtime-only fields,P23-E001; P23-E002; P23-E004; P23-E006,P23,P34 | P36,P23 closes template authoring/selection; final cross-feature acceptance remains P34/P36.
REQ-059,需求/周期交易,复杂周期规则、正式/候选、幂等补齐、修改范围,AUT-004..010,RecurrenceRuleEditor;ScopeOptionCards,候选有明显未入账标识；修改出现三种范围选择。,VERIFIED,P23 deterministic closed recurrence rules immutable revisions/exceptions unique occurrence catch-up formal/candidate modes three scopes and fact-free candidate confirmation,P23-E001; P23-E002; P23-E003; P23-E004; P23-E005; P23-E006,P23,P34 | P36,P23 acceptance is complete; broader final acceptance remains P34/P36.
REQ-060,需求/批量录入,摘要表格+完整行编辑，整批校验提交与撤销,REC-023..025,BatchSummaryTable;AtomicCommitBar,任一错误默认禁止整批提交；成功后可按批次撤销。,VERIFIED,P24 complete in-memory rows governed virtualized summary/editor/validation one coordinator-owned BatchFinancialCommand audit and immutable whole-batch reversal,P24-E001; P24-E002; P24-E003; P24-E004; P24-E005; P24-E006,P24,P34 | P36,Any invalid row leaves the ledger unchanged; injected commit failure fully rolls back and exact replay is idempotent.
REQ-061,需求/批量编辑,限定允许字段，禁止金额等高风险字段,JRN-005..006,BulkEditableFieldList,不允许的字段不出现在批量编辑器。,VERIFIED,P15 query-selection and allowed-field coordinator batch finalized by P24 bounded selection and cross-feature static/UI replay,P15-E001; P15-E002; P15-E004; P15-E005; P24-E001; P24-E002; P24-E004; P24-E006,P24,P34 | P36,P24 confirms amount direction refund relation and settlement share remain absent while 500000 matches use query fingerprint plus exclusions.
REQ-062,需求/流水,日期分组、规定字段和多种标识,JRN-001,JournalTransactionRow,行同时显示分类、摘要、账户卡、账户币金额、必要原币与状态图标。,VERIFIED,P04 governed row plus P15 bounded Paging sticky local-date headers full typed amounts and state/source badges,P04-E003; P04-E005; P04-E007; P04-E008; P15-E003; P15-E005; P15-E006,P15,P34 | P36,P15 exact UI and 500000-row device evidence closes the journal list behavior.
REQ-063,需求/流水,收入/消费/退款/转账用颜色+图标+文字区分,JRN-001,TransactionTypeIndicator,关掉颜色/灰度截图下仍可通过图标和文字识别。,VERIFIED,P04 semantic colors/icons plus P15 rows always render an independent transaction-kind text label and governed icon,P04-E002; P04-E003; P04-E005; P15-E005; P15-E006,P15,P34 | P36,Kind is never represented by color alone; the structural UI matrix and exact golden preserve the icon and text channels.
