需求ID,来源章节,需求摘要,覆盖页面/流程,核心组件,验收条件
REQ-050,需求/预算,每日可用金额扣除尚未发生周期固定支出,BUD-001,DailyAvailableCard,卡片显示公式展开和周期预留金额。
REQ-051,需求/目标,目标是账户内预留，不改变实际余额,GOL-001..004;ACC-005,AccountAvailabilitySummary,同时显示实际余额、目标预留和可用余额。
REQ-052,需求/目标,余额不足不阻止交易，允许可用余额为负并警告,REC-003;GOL-003,UnderfundedWarning,只警告不禁用保存。
REQ-053,需求/商户,商户搜索、合并、别名、地点与本地位置推荐,REC-007;MER-001..003,MerchantSuggestionRow,推荐需标注“根据本地历史”，不得自动填写。
REQ-054,需求/位置,前台尝试定位，保存最多等待3秒，失败不阻止,REC-003;REC-009;SYS-001,LocationField,保存过程中最多等待3秒，超时自动继续且不后台补写。
REQ-055,需求/位置,不申请后台定位，不在线地点搜索/反向解析,SYS-001;REC-009,PermissionRationale,权限说明仅为“使用应用时”；地图无在线搜索框。
REQ-056,需求/地图,聚类、热力图、金额/笔数、商户/地点汇总和完整筛选,ANA-011;ANA-012,MapModeSelector;MapClusterLayer;MapHeatLayer,缩放后从聚类平滑切到单点；地图有 attribution。
REQ-057,需求/附件,任意格式数量、私有复制、重命名、预览/外开、去重,REC-010;ATT-001..003,AttachmentList;SecureImagePreview,外部打开前确认；UI 不显示物理存储名；大文件可取消。
REQ-058,需求/快捷模板,模板进入完整表单，不直接保存,AUT-002..003;REC-026;REC-003,TemplateCard,点击模板后进入 REC-003，用户仍可修改全部字段。
REQ-059,需求/周期交易,复杂周期规则、正式/候选、幂等补齐、修改范围,AUT-004..010,RecurrenceRuleEditor;ScopeOptionCards,候选有明显未入账标识；修改出现三种范围选择。
REQ-060,需求/批量录入,摘要表格+完整行编辑，整批校验提交与撤销,REC-023..025,BatchSummaryTable;AtomicCommitBar,任一错误默认禁止整批提交；成功后可按批次撤销。
REQ-061,需求/批量编辑,限定允许字段，禁止金额等高风险字段,JRN-005..006,BulkEditableFieldList,不允许的字段不出现在批量编辑器。
REQ-062,需求/流水,日期分组、规定字段和多种标识,JRN-001,JournalTransactionRow,行同时显示分类、摘要、账户卡、账户币金额、必要原币与状态图标。
REQ-063,需求/流水,收入/消费/退款/转账用颜色+图标+文字区分,JRN-001,TransactionTypeIndicator,关掉颜色/灰度截图下仍可通过图标和文字识别。
REQ-064,需求/流水,账户详情显示运行余额，全局流水不显示,ACC-006;JRN-001,RunningBalanceColumn,同一交易在全局行不出现运行余额，在账户行出现。
REQ-065,需求/搜索筛选,完整维度、跨维度 AND、同维度 OR、保存默认方案,JRN-003;JRN-004,FilterBuilder,筛选摘要可读出逻辑；默认筛选可设置和清除。
REQ-066,需求/交易详情,展示所有关系、影响和完整历史,JRN-007..009,TransactionDetailSections,与交易有关但为空的区块隐藏；有值时都可到达对应详情。
REQ-067,需求/分析,至少20种固定报表和自定义仪表板,ANA-001..010,ReportCatalog;DashboardEditor,固定报表目录完整；自定义支持指标、维度、筛选、排序和规定图表。
REQ-068,需求/分析,图表摘要、可访问表格、饼图过多自动改条形图,ANA-003;ANA-009,AccessibleDataTable;VisualizationCompatibility,TalkBack 可先读摘要再进入数据表；类别>6时饼图不可选/自动转换。
REQ-069,需求/异常预测,确定性规则，不使用AI,ANA-013;ANA-014,DeterministicMethodDisclosure,每个异常/预测可展开查看输入窗口、阈值与算法版本。
REQ-070,需求/导航,底部固定五入口，更多功能承载其他模块,REC-001;JRN-001;ACC-001;BUD-001;ANA-001;G-006,LedgerNavigationBar,五项标签始终可见；更多入口位置一致。
REQ-071,需求/冷启动,默认记账-支出；短暂返回恢复原页且可配置,G-001;REC-001;SETG-001,SessionRestorePolicy,自动化测试覆盖冷启动和后台恢复两种策略。
REQ-072,需求/小组件,九类小组件，金额默认隐藏，快速记账不直接保存,WGT-001..003,WidgetPreview;AmountPrivacy,新组件默认隐藏金额；点击快速记账只打开表单。
REQ-073,需求/导入,CSV/Excel通用和结构化导入、暂存、预览、校验、重复处理,IMP-001..010,ImportWizard,导入前主账本无变化；用户可从错误跳到来源行。
REQ-074,需求/导出,筛选CSV、全量Excel、报表图/PDF/Excel、加密备份,EXP-001..004;ANA-010;BKP-001..007,ExportTypeCards,保险库完整字段永不在CSV/Excel字段列表出现。
REQ-075,需求/备份,始终加密、附件历史、可选保险库、保留策略、本地/Drive,BKP-001..007,BackupStatusHero;IncludeVaultToggle,未设置恢复密码时不能启用包含保险库；备份状态可验证。
REQ-076,需求/恢复,替换/同账本合并、安全快照、完整性检查、失败回滚,RST-001..007,RestoreModeCards;SafetySnapshotNotice,不兼容账本ID/本位币阻止合并；失败后显示已回滚。
REQ-077,需求/保险库,每次查看/复制认证，安全码禁复制，30秒/后台隐藏，禁截屏,VLT-001..004,SensitiveValueField;AuthenticationGate,自动化与真机测试覆盖每次认证、超时和后台切换。
REQ-078,需求/应用锁,默认关闭，多种超时，最近任务遮挡，可选全局禁截屏,SETG-006;SETG-007;G-002,LockScreen,所有超时选项存在；保险库安全策略不受全局开关影响。
REQ-079,需求/本地清除,只清本机；云端备份删除独立认证确认,CLR-001;CLR-002,TypedConfirmation,本地清除说明明确不删除导出文件/Drive；云端删除是独立流程。
REQ-080,需求/遥测,首次确认前不发送，分别开关，可查看删除队列,ONB-005;SETG-009..011,ConsentToggle;QueueList,关闭后队列立即为空；UI 不显示业务数据字段。
REQ-081,需求/首次启动,十步顺序，账户/分类可跳过，无示例数据,ONB-001..010,OnboardingScaffold,步骤顺序固定；跳过后应用为空状态。
REQ-082,需求/国际化,简中、日语、英语；地区格式可覆盖,ONB-001;SETG-003..005,LocalizedText;FormatPreview,三语截图测试；长文案不截断。
REQ-083,需求/无障碍,浅深、动态色、大字体、TalkBack、减少动画、触控目标、非颜色唯一,全局,LedgerTheme;AccessibleChart;TouchTarget,200%字体、TalkBack、灰度、减少动画和48dp触控目标均通过测试。
REQ-084,需求/性能,50万交易、分页、流式大型操作,JRN-001;IMP-008;EXP-004;BKP-001;RST-006,PagedList;OperationProgressPanel,列表不显示全量计数前阻塞；长操作持续进度、可安全取消并恢复。
REQ-085,架构/UI导航,五个顶层各自独立back stack，导航参数只传稳定ID,全局路由契约,NavigationContract,静态检查禁止金额、备注、完整对象进入route。
REQ-086,架构/表单状态,未保存表单仅内存，SavedState不存敏感数据,REC-003;REC-023;AUT-003,SensitiveStatePolicy,进程重建后回到安全入口并说明未保存内容丢失；SavedState审计无敏感字段。
REQ-087,架构/应用状态,Locked/Opening/Maintenance/RecoveryRequired状态完整,G-001..005,SessionGate,维护期间所有业务写按钮不可达。
REQ-088,领域/修订冲突,编辑使用expectedRevision，冲突不得静默覆盖,REC-003;JRN-007,ConflictDialog,冲突时提供重新加载、查看差异、取消，不提供无提示强制覆盖。
REQ-089,领域/清除墓碑,合并恢复中清除墓碑优先旧实体,RST-005,PurgeTombstoneConflictCard,冲突卡明确显示该项已被永久清除且不能选择旧版本复活。
REQ-090,技术/UI栈,Compose+Material3、Navigation3、Glance、MapLibre、Vico,全局,core:designsystem wrappers,feature模块不得建立XML页面或第二套主题；地图/图表使用统一包装。
